ensemble_orig,size,average_degree,average_weight,average_weight_out,volume,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,modularity,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,shuffle,bin_width
0,11,0.1900674333997805,0.023230464082195392,0.007998549426624781,2.1627287122372083,0.20922845414286692,0.01900674333997805,0.07198694483962303,0.17594321386640294,0.011997824139937172,0.21157470981385226,0.0,0.9625,0.0,0.0,0.0,-1,hamilton_01,False,0.05
1,6,0.05619363307106587,0.01685808992131976,0.00799854942662478,0.40914874326601824,0.20922845414286692,0.011238726614213174,0.07198694483962303,0.17594321386640294,0.011997824139937172,0.21157470981385226,0.8125,0.9625,0.0,0.0,0.0,-1,hamilton_01,False,0.05
0,7,0.20135653597955808,0.03915265977380296,0.03131660316106325,2.41162705301093,0.5015041638218072,0.033559422663259675,1.0021313011540243,0.4155415738527471,0.1431616144505749,0.14160103137720823,0.8888888888888888,1.0,0.4444444444444444,0.5777777777777777,0.011111111111111112,-1,hamilton_02,False,0.05
1,12,0.8879691147698133,0.14020564970049684,0.03131660316106326,11.657760678391782,0.5015041638218072,0.08072446497907394,1.0021313011540243,0.4155415738527471,0.1431616144505749,0.14160103137720823,0.06666666666666667,1.0,0.4444444444444444,0.5777777777777777,0.011111111111111112,3,hamilton_02,False,0.05
0,2,0.09606400988623336,0.09606400988623336,0.019386678552385066,0.7543416977916335,0.8865833561168506,0.09606400988623336,0.5622136780191669,0.7453037259706983,0.28110683900958344,0.1345782708732641,0.7863247863247863,0.15384615384615385,0.9871794871794872,0.9871794871794872,1.0,-1,hamilton_12,False,0.05
1,7,0.14579608324722165,0.024299347207870275,0.013029111026753736,1.8414065774160373,0.7295571337829474,0.024299347207870275,0.8208339946854853,0.44576466965667333,0.11726199924078362,0.1345782708732641,0.3076923076923077,1.0,0.8205128205128205,0.358974358974359,0.2564102564102564,-1,hamilton_12,False,0.05
2,3,0.019256671807021262,0.014442503855265946,0.00895781623260314,0.2637997887709361,0.8270999740107555,0.009628335903510631,0.20602977334987227,0.781008105843379,0.0686765911166241,0.1345782708732641,1.0,1.0,0.9871794871794872,0.9871794871794872,0.0,-1,hamilton_12,False,0.05
3,8,0.11998179675586335,0.020866399435802322,0.013251859648613395,1.8742326898012311,0.8076313130229077,0.01714025667940905,0.9143783157543244,0.4878680863534065,0.11429728946929055,0.1345782708732641,0.48717948717948717,1.0,0.9871794871794872,0.358974358974359,0.2564102564102564,-1,hamilton_12,False,0.05
0,7,0.11284679162111547,0.02323316298081789,0.014396445940593045,1.1642351358032277,0.64099269954269,0.018807798603519246,0.3743075944554192,0.32150515213335956,0.053472513493631316,0.28443555614656635,0.2785714285714286,0.8857142857142857,0.34285714285714286,0.10714285714285714,0.19285714285714284,-1,hamilton_13,False,0.05
1,5,0.09371680606470159,0.026032446129083772,0.016424568060094763,0.7806508234653085,0.6004159617583371,0.023429201516175398,0.3120667931418005,0.3997520834686835,0.0624133586283601,0.28443555614656635,0.35714285714285715,0.8857142857142857,0.34285714285714286,0.2857142857142857,0.2857142857142857,-1,hamilton_13,False,0.05
2,3,0.1041646370820512,0.0520823185410256,0.008715854986541947,0.3909366061250311,0.24098603466899216,0.0520823185410256,0.07844269487887753,0.200653235460354,0.026147564959625846,0.28443555614656635,0.2785714285714286,0.34285714285714286,0.0,0.0,0.0,-1,hamilton_13,False,0.05
0,6,0.024533148337568575,0.01839986125317643,0.002237433959207696,0.15391119190303454,0.1948141931153875,0.004906629667513715,0.006712301877623087,0.15120266756855202,0.0016780754694057719,0.29247451763327603,0.44999999999999996,0.44999999999999996,0.625,0.675,0.7,-1,hamilton_14,False,0.05
1,2,0.0025222628736933676,0.0025222628736933676,0.0018667329452201693,0.012511457528267413,0.636997140956448,0.0025222628736933676,0.007466931780880677,0.5968075073595921,0.0037334658904403387,0.29247451763327603,0.8833333333333333,0.9,0.7666666666666667,0.95,0.75,-1,hamilton_14,False,0.05
2,2,0.015563330149731222,0.015563330149731222,0.0007546299032575891,0.031881290202720035,0.02820441087934985,0.015563330149731222,0.0007546299032575891,0.02366999260253294,0.00037731495162879455,0.29247451763327603,0.675,0.44999999999999996,0.4,0.4,0.5,-1,hamilton_14,False,0.05
0,7,0.021686505040282765,0.02530092254699656,0.016977793808251734,0.16878332909023108,1.100589281534881,0.003614417506713794,0.016977793808251734,1.0,0.016977793808251734,-0.01670639902368132,0.8333333333333334,0.3125,0.875,0.875,0.9166666666666666,-1,hamilton_05,False,0.05
1,1,0.0,,0.016977793808251734,0.016977793808251734,1.100589281534881,,0.016977793808251734,1.0,0.016977793808251734,-0.01670639902368132,1.0,0.0,0.875,0.875,0.9166666666666666,-1,hamilton_05,False,0.05
